hour_of_day,failed_login_attempts,data_transfer_mb,file_access_count,network_connections,distinct_files_touched,is_after_hours,is_known_device,cpu_spike_percent,risk_score,severity,is_anomalous,source,raw_message,file_path
20,6,379.81,28,21,14,0,1,54.7,93.97,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 14 related files by LAPTOP-ADMIN at hour 20:00 (379.81MB transferred).,/var/backups/customer_pii.csv
10,0,3.84,1,3,1,0,1,38.1,0.0,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 1 related files by WKSTN-01 at hour 10:00 (3.84MB transferred).,/home/user/notes/meeting_minutes.docx
14,0,45.53,6,0,3,0,1,4.9,13.29,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 3 related files by WKSTN-02 at hour 14:00 (45.53MB transferred).,/home/user/notes/meeting_minutes.docx
18,0,15.23,3,2,1,0,1,22.1,15.02,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 3 file operations in session (after-hours=no).",
10,0,10.2,3,3,0,0,1,21.0,7.51,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 3 file operations in session (after-hours=no).",
8,0,24.61,8,3,2,0,1,14.0,4.11,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 8 file operations in session (after-hours=no).",
11,8,479.51,39,18,24,0,0,20.7,100.0,critical,1,log_monitor,"Login node EXT-10.0.9.201: 8 failed attempts, 18 active connections, 39 file operations in session (after-hours=no).",
13,0,30.84,4,3,2,0,1,21.1,4.69,normal,0,file_scan,File access: /var/log/app/access.log touched 2 related files by LAPTOP-ADMIN at hour 13:00 (30.84MB transferred).,/var/log/app/access.log
9,0,78.09,2,2,1,0,1,26.4,1.95,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 2 file operations in session (after-hours=no).",
2,2,150.16,12,6,7,1,1,42.9,48.94,suspicious,1,file_scan,File access: /var/backups/customer_pii.csv touched 7 related files by LAPTOP-ADMIN at hour 02:00 (150.16MB transferred).,/var/backups/customer_pii.csv
10,0,7.11,4,0,2,0,1,21.5,12.04,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 0 active connections, 4 file operations in session (after-hours=no).",
17,2,389.84,15,5,9,0,1,18.3,41.58,suspicious,1,log_monitor,"Login node WKSTN-02: 2 failed attempts, 5 active connections, 15 file operations in session (after-hours=no).",
4,6,531.94,40,14,16,1,0,24.0,100.0,critical,1,file_scan,File access: /etc/shadow touched 16 related files by EXT-10.0.9.201 at hour 04:00 (531.94MB transferred).,/etc/shadow
13,0,30.04,2,6,2,0,1,41.3,14.27,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by SRV-DB-PRIMARY at hour 13:00 (30.04MB transferred).,/home/user/notes/meeting_minutes.docx
16,0,0.46,2,4,0,0,1,18.8,4.08,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 0 related files by SRV-DB-PRIMARY at hour 16:00 (0.46MB transferred).,/tmp/build_cache/output.json
12,0,20.98,8,5,3,0,1,31.2,10.2,normal,0,file_scan,File access: /var/log/app/access.log touched 3 related files by LAPTOP-ADMIN at hour 12:00 (20.98MB transferred).,/var/log/app/access.log
16,0,26.59,5,2,4,0,1,14.5,19.37,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 5 file operations in session (after-hours=no).",
7,7,249.1,48,13,15,0,1,27.2,97.27,critical,1,log_monitor,"Login node WKSTN-02: 7 failed attempts, 13 active connections, 48 file operations in session (after-hours=no).",
10,3,332.99,12,8,8,0,1,11.1,47.27,suspicious,1,file_scan,File access: /data/hr/employee_records.db touched 8 related files by LAPTOP-ADMIN at hour 10:00 (332.99MB transferred).,/data/hr/employee_records.db
12,0,12.93,2,5,4,0,1,24.8,11.05,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 5 active connections, 2 file operations in session (after-hours=no).",
9,0,6.27,6,0,2,0,1,23.7,17.97,normal,0,file_scan,File access: /var/log/app/access.log touched 2 related files by SRV-DB-PRIMARY at hour 09:00 (6.27MB transferred).,/var/log/app/access.log
4,3,129.49,17,9,5,1,0,75.6,79.78,critical,1,log_monitor,"Login node EXT-192.168.77.14: 3 failed attempts, 9 active connections, 17 file operations in session (after-hours=yes).",
14,1,6.11,1,5,5,0,1,33.4,11.22,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 5 related files by LAPTOP-ADMIN at hour 14:00 (6.11MB transferred).,/tmp/build_cache/output.json
18,1,5.4,5,4,1,0,1,51.6,0.0,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by SRV-DB-PRIMARY at hour 18:00 (5.4MB transferred).,/var/log/app/access.log
14,0,37.45,5,2,0,0,1,39.6,18.96,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 0 related files by SRV-DB-PRIMARY at hour 14:00 (37.45MB transferred).,/tmp/build_cache/output.json
17,1,12.97,6,5,0,0,1,33.5,9.23,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 1 failed attempts, 5 active connections, 6 file operations in session (after-hours=no).",
8,0,39.6,6,4,4,0,1,28.3,14.83,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 4 active connections, 6 file operations in session (after-hours=no).",
15,5,140.8,7,11,9,0,1,9.1,52.34,suspicious,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 9 related files by SRV-DB-PRIMARY at hour 15:00 (140.8MB transferred).,/data/finance/tax_filings_2025.pdf
15,0,23.48,9,2,3,0,1,39.3,10.03,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 2 active connections, 9 file operations in session (after-hours=no).",
8,3,163.05,23,7,8,0,0,36.2,66.55,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 8 related files by UNKNOWN-HOST at hour 08:00 (163.05MB transferred).,/data/finance/payroll_2026.xlsx
14,0,21.8,2,3,2,0,1,7.2,15.83,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by LAPTOP-ADMIN at hour 14:00 (21.8MB transferred).,/home/user/downloads/invoice_1042.pdf
9,0,58.23,5,2,0,0,1,31.0,7.42,normal,0,file_scan,File access: /var/log/app/access.log touched 0 related files by WKSTN-01 at hour 09:00 (58.23MB transferred).,/var/log/app/access.log
15,0,40.69,3,2,2,0,1,53.9,6.65,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 3 file operations in session (after-hours=no).",
18,0,79.05,3,7,1,0,1,36.7,11.96,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 7 active connections, 3 file operations in session (after-hours=no).",
10,8,417.59,36,13,15,0,1,19.6,97.65,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 15 related files by SRV-DB-PRIMARY at hour 10:00 (417.59MB transferred).,/var/backups/customer_pii.csv
9,0,49.25,6,2,0,0,1,39.0,6.97,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 0 related files by WKSTN-01 at hour 09:00 (49.25MB transferred).,/home/user/downloads/invoice_1042.pdf
18,0,21.21,3,2,2,0,1,10.7,0.0,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by WKSTN-01 at hour 18:00 (21.21MB transferred).,/home/user/downloads/invoice_1042.pdf
12,0,16.36,3,0,2,0,1,41.0,0.0,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 2 related files by WKSTN-02 at hour 12:00 (16.36MB transferred).,/tmp/build_cache/output.json
8,3,212.86,17,7,6,0,0,35.1,65.57,critical,1,log_monitor,"Login node EXT-192.168.77.14: 3 failed attempts, 7 active connections, 17 file operations in session (after-hours=no).",
13,0,18.6,7,2,0,0,1,17.0,10.27,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 2 active connections, 7 file operations in session (after-hours=no).",
15,0,13.97,5,1,1,0,1,50.3,15.13,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 1 active connections, 5 file operations in session (after-hours=no).",
12,0,17.26,3,3,2,0,1,44.9,16.13,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 3 file operations in session (after-hours=no).",
13,0,16.27,2,4,5,0,1,49.1,4.39,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 4 active connections, 2 file operations in session (after-hours=no).",
12,1,25.95,5,3,1,0,1,40.1,4.57,normal,0,log_monitor,"Login node WKSTN-01: 1 failed attempts, 3 active connections, 5 file operations in session (after-hours=no).",
18,0,40.42,5,2,3,0,1,8.9,0.0,normal,0,file_scan,File access: /var/log/app/access.log touched 3 related files by WKSTN-02 at hour 18:00 (40.42MB transferred).,/var/log/app/access.log
9,0,24.05,4,4,2,0,1,55.4,8.27,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 4 active connections, 4 file operations in session (after-hours=no).",
18,0,37.64,7,3,0,0,1,33.2,10.2,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 7 file operations in session (after-hours=no).",
14,0,64.62,1,1,2,0,1,26.8,0.0,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by SRV-DB-PRIMARY at hour 14:00 (64.62MB transferred).,/home/user/notes/meeting_minutes.docx
4,0,519.3,17,7,9,1,1,33.3,56.01,suspicious,1,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 7 active connections, 17 file operations in session (after-hours=yes).",
18,0,32.16,7,2,1,0,1,30.4,3.73,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 2 active connections, 7 file operations in session (after-hours=no).",
8,0,11.76,6,6,3,0,1,31.7,17.84,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 6 active connections, 6 file operations in session (after-hours=no).",
15,1,72.65,1,6,3,0,1,16.9,19.27,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 1 failed attempts, 6 active connections, 1 file operations in session (after-hours=no).",
22,6,210.58,13,9,6,1,1,49.7,68.57,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 6 related files by WKSTN-01 at hour 22:00 (210.58MB transferred).,/var/backups/customer_pii.csv
10,0,29.2,3,1,2,0,1,19.8,15.59,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by LAPTOP-ADMIN at hour 10:00 (29.2MB transferred).,/home/user/notes/meeting_minutes.docx
17,0,16.42,7,4,2,0,1,10.8,14.49,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by SRV-DB-PRIMARY at hour 17:00 (16.42MB transferred).,/home/user/notes/meeting_minutes.docx
16,0,31.64,5,4,4,0,1,0.0,0.0,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 4 related files by LAPTOP-ADMIN at hour 16:00 (31.64MB transferred).,/home/user/notes/meeting_minutes.docx
18,3,93.63,14,6,7,0,0,42.4,55.99,suspicious,1,log_monitor,"Login node UNKNOWN-HOST: 3 failed attempts, 6 active connections, 14 file operations in session (after-hours=no).",
9,1,29.91,4,2,3,0,1,0.0,13.6,normal,0,log_monitor,"Login node WKSTN-02: 1 failed attempts, 2 active connections, 4 file operations in session (after-hours=no).",
18,0,36.49,3,3,3,0,1,0.0,12.39,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 3 active connections, 3 file operations in session (after-hours=no).",
11,1,27.52,5,7,0,0,1,0.0,28.52,suspicious,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 0 related files by WKSTN-01 at hour 11:00 (27.52MB transferred).,/data/finance/tax_filings_2025.pdf
8,0,43.2,2,3,4,0,1,3.0,0.0,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 3 active connections, 2 file operations in session (after-hours=no).",
17,0,91.36,3,4,1,0,1,54.6,6.54,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 4 active connections, 3 file operations in session (after-hours=no).",
15,0,69.11,5,8,2,0,1,57.8,25.99,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 8 active connections, 5 file operations in session (after-hours=no).",
16,0,67.32,2,2,1,0,1,32.7,20.54,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by WKSTN-01 at hour 16:00 (67.32MB transferred).,/var/log/app/access.log
12,0,22.1,5,5,2,0,1,14.7,10.36,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 2 related files by WKSTN-02 at hour 12:00 (22.1MB transferred).,/tmp/build_cache/output.json
17,3,21.93,6,4,2,0,1,66.9,14.54,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 3 failed attempts, 4 active connections, 6 file operations in session (after-hours=no).",
19,7,430.21,37,15,9,0,0,11.1,100.0,critical,1,log_monitor,"Login node EXT-10.0.9.201: 7 failed attempts, 15 active connections, 37 file operations in session (after-hours=no).",
14,3,123.82,9,10,6,0,1,4.6,41.35,suspicious,1,log_monitor,"Login node LAPTOP-ADMIN: 3 failed attempts, 10 active connections, 9 file operations in session (after-hours=no).",
13,0,31.79,4,3,2,0,1,19.4,17.63,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by WKSTN-02 at hour 13:00 (31.79MB transferred).,/home/user/notes/meeting_minutes.docx
10,0,46.6,3,5,2,0,1,48.6,11.24,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 5 active connections, 3 file operations in session (after-hours=no).",
15,1,5.57,1,2,3,0,1,34.9,16.32,normal,0,log_monitor,"Login node WKSTN-02: 1 failed attempts, 2 active connections, 1 file operations in session (after-hours=no).",
14,0,40.22,4,3,2,0,1,24.2,0.67,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by LAPTOP-ADMIN at hour 14:00 (40.22MB transferred).,/home/user/downloads/invoice_1042.pdf
15,1,26.81,3,3,4,0,1,53.8,19.07,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 4 related files by WKSTN-01 at hour 15:00 (26.81MB transferred).,/home/user/reports/Q3_summary.pdf
15,1,38.04,3,3,4,0,1,33.0,24.33,normal,0,log_monitor,"Login node WKSTN-02: 1 failed attempts, 3 active connections, 3 file operations in session (after-hours=no).",
17,0,6.04,9,1,0,0,1,38.2,1.73,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 0 related files by LAPTOP-ADMIN at hour 17:00 (6.04MB transferred).,/home/user/notes/meeting_minutes.docx
14,1,51.62,3,2,4,0,1,37.4,19.13,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 4 related files by LAPTOP-ADMIN at hour 14:00 (51.62MB transferred).,/home/user/reports/Q3_summary.pdf
14,0,0.78,4,7,0,0,1,41.8,13.78,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 7 active connections, 4 file operations in session (after-hours=no).",
3,3,101.64,13,6,5,1,1,21.5,58.09,suspicious,1,file_scan,File access: /data/hr/employee_records.db touched 5 related files by LAPTOP-ADMIN at hour 03:00 (101.64MB transferred).,/data/hr/employee_records.db
14,1,2.56,5,1,2,0,1,35.3,10.0,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 2 related files by WKSTN-01 at hour 14:00 (2.56MB transferred).,/tmp/build_cache/output.json
9,0,24.84,4,2,1,0,1,60.6,10.17,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 1 related files by SRV-DB-PRIMARY at hour 09:00 (24.84MB transferred).,/tmp/build_cache/output.json
1,2,123.5,15,10,10,1,1,55.9,67.08,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 10 related files by SRV-DB-PRIMARY at hour 01:00 (123.5MB transferred).,/data/finance/payroll_2026.xlsx
8,0,12.44,4,3,3,0,1,22.0,13.4,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 3 related files by LAPTOP-ADMIN at hour 08:00 (12.44MB transferred).,/home/user/notes/meeting_minutes.docx
6,4,742.8,30,14,11,1,0,40.8,100.0,critical,1,log_monitor,"Login node EXT-192.168.77.14: 4 failed attempts, 14 active connections, 30 file operations in session (after-hours=yes).",
5,1,192.12,15,7,4,1,1,50.2,47.04,suspicious,1,log_monitor,"Login node WKSTN-01: 1 failed attempts, 7 active connections, 15 file operations in session (after-hours=yes).",
16,0,10.53,5,3,1,0,1,26.0,0.0,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 1 related files by WKSTN-02 at hour 16:00 (10.53MB transferred).,/tmp/build_cache/output.json
22,4,400.77,14,4,7,1,1,67.7,69.07,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 7 related files by LAPTOP-ADMIN at hour 22:00 (400.77MB transferred).,/data/finance/tax_filings_2025.pdf
12,0,14.03,4,6,1,0,1,13.8,10.41,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 6 active connections, 4 file operations in session (after-hours=no).",
14,0,4.75,4,2,1,0,1,23.0,21.08,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by LAPTOP-ADMIN at hour 14:00 (4.75MB transferred).,/var/log/app/access.log
16,0,26.25,3,3,1,0,1,69.5,5.97,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 3 active connections, 3 file operations in session (after-hours=no).",
15,0,5.85,2,4,4,0,1,0.0,4.34,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 4 related files by WKSTN-02 at hour 15:00 (5.85MB transferred).,/home/user/notes/meeting_minutes.docx
13,4,51.61,18,7,8,0,1,11.0,50.41,suspicious,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 8 related files by WKSTN-01 at hour 13:00 (51.61MB transferred).,/data/finance/payroll_2026.xlsx
6,2,144.84,22,12,3,1,1,49.2,55.16,suspicious,1,log_monitor,"Login node SRV-DB-PRIMARY: 2 failed attempts, 12 active connections, 22 file operations in session (after-hours=yes).",
16,0,29.46,2,4,3,0,1,31.2,16.52,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 3 related files by LAPTOP-ADMIN at hour 16:00 (29.46MB transferred).,/home/user/reports/Q3_summary.pdf
16,1,79.87,3,5,5,0,1,40.2,16.95,normal,0,log_monitor,"Login node WKSTN-02: 1 failed attempts, 5 active connections, 3 file operations in session (after-hours=no).",
